filename,duration,model,transcription,processing_time,processing_time_per_duration,status
dataset/kaggle/Speaker0033/Speaker0033_000.wav,60000.36 ms,mlx_whisper," Chapter 1 of Birds in the calendar. This is a Librevox recording, or Librevox recordings are in the public domain. For more information not to volunteer, please visit Librevox.org. Recording by Bruce Golding. Birds in the calendar by F.G. Aflalo. January, the Fescent. Birds are to be considered throughout these pages from any standpoint but that of sport. Much that is of interest in connection with a bird essentially the sportsman's must necessarily be omitted. At the same time, although this gorgeous creature, the chief attraction of social gatherings throughout the winter months, appeals chiefly to the men who shoot and eat it. It is not uninteresting to the naturalist with opportunities for studying its habits under conditions more favorable than...",1072.17 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_000.wav,60000.36 ms,apple_speech,Chapter won of birds in the calendar this is a libre box recording all Liber box recordings are in the public domain for more information not to volunteer please visit librevox.org recording by Ruth Goulding birds in the calendar by FG Afflalo January the pheasant as birds are to be considered throughout these pages from any standpoint but that is sport much that is of interest in connection with a bird essentially the sportsman's must necessarily be omitted at the same time although this gorgeous creature the chief attraction of social gatherings throughout the winter months appeals chiefly to the men who shoot and eat it it is not an interesting to the naturalist with opportunities for studying its habits under conditions more favorable,4427.89 ms,0.07,Success
dataset/kaggle/Speaker0033/Speaker0033_000.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=780, text=Chapter 1 of Birds in the Calendar. This is a LibriVox recording, all LibriVox recordings, t0=780, t1=1560, text=are in the public domain. For more information or to volunteer, please visit LibriVox.org, t0=1560, t1=1880, text=recording by Ruth Golding., t0=1880, t1=2600, text=Birds in the Calendar by F.G. Aflalo, January the Thessant., t0=2600, t1=3280, text=Birds are to be considered throughout these pages from any standpoint, but that of sport., t0=3280, t1=3860, text=Much that is of interest in connection with a bird essentially the sportsmen must necessarily, t0=3860, t1=4060, text=be omitted., t0=4060, t1=4632, text=At the same time, although this gorgeous creature, the chief attraction of social gatherings, t0=4632, t1=5244, text=throughout the winter months, appeals chiefly to the men who shoot and eat it. It is not, t0=5244, t1=5836, text=uninteresting to the naturalist with opportunities for studying its habits under conditions, t0=5836, t1=5996, text=more favorable than the next one.]",610.11 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_000.wav,60000.36 ms,openai_whisper," Chapter 1 of Birds in the Calendar. This is a LibriVox recording, or LibriVox recordings are in the public domain. For more information or to volunteer, please visit LibriVox.org, recording by Ruth Golding. Birds in the calendar by F.G. Aflalo, January the Thessant. As birds are to be considered throughout these pages from any standpoint, but that of sport, much that is of interest in connection with a bird essentially the sportsmen must necessarily be omitted. At the same time, although this gorgeous creature, the chief attraction of social gatherings throughout the winter months, appeals chiefly to the men who shoot and eat it. It is not uninteresting to the naturalist with opportunities for studying its habits under conditions more favorable than...",978.86 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_000.wav,60000.36 ms,vosk,chapter one of birds in the calendar this is a liberal fox recording only liberal fox recordings that in the public domain for more information or to volunteer please visit new provokes dot org recording by bruce golding birds in the calendar by f g afflalo january the pheasant as birds or to be considered throughout these pages from any standpoint but that of sport much that is of interest in connection with a bird essentially the sports mins must necessarily be emitted at the same time although this gorgeous creature the chief attraction of social gathering throughout the winter months appeals chiefly to the men who shoot and eat it it is not an interesting to the naturalist with opportunities for studying it's habits under conditions more favorable the,2311.97 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_003.wav,60000.36 ms,mlx_whisper," rivalry between Fescent and Fox, or, as I rather suspect, between those who shoot the one and hunt the other, admits of only one answer. The Fox eats the Fescent, the Fescent is eaten by the Fox. This not very complex proposition may read like an excerpt from a French grammar, but it is the epitome of the whole argument. It is just possible we have no actual evidence to go on, that under such wholly natural conditions as survive nowhere in rural England, the two might flourish side by side. The Fox taking occasional toll of its agreeably flavored neighbours, and the latter we may suppose, their wits sharpened by adversity, gradually devising means of keeping out of the robbers' reach. In the artificial environment of a hunting or shooting country, however, the Fox will always prove too much.",591.83 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_003.wav,60000.36 ms,apple_speech,I will read between pheasant and fox or as I rather suspect between those who shoot the one and hunt the other admits of only one answer the fox eats the pheasant the pheasant is eaten by the fox this not very complex proposition may read like an except from a French grammar but it is the epitome of the whole argument it is just possible we have no actual evidence to go on that under such holy natural conditions as survive nowhere in rural England the two might flourish side-by-side the fox taking occasional total of its agreeably flavored neighs and the latter we may suppose their wit sharpened by adversity gradually devising means of keeping out of the robbers reach in the artificial environment of a hunting or shooting country however the fox will always prove too Much,3417.26 ms,0.06,Success
dataset/kaggle/Speaker0033/Speaker0033_003.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=624, text=rivalry between fessent and fox, or, as I rather suspect, between those who shoot the, t0=624, t1=1428, text=one and hunt the other, admits of only one answer. The fox eats the fessent, the fessent, t0=1428, t1=2146, text=is eaten by the fox. This not very complex proposition may read like an excerpt from a French, t0=2146, t1=2876, text=grammar, but it is the epitome of the whole argument. It is just possible we have no actual, t0=2876, t1=3532, text=evidence to go on, that under such holy natural conditions as survive nowhere in rural, t0=3532, t1=4172, text=England, the two might flourish side by side. The fox taking occasional toll of its, t0=4172, t1=4888, text=agreeably flavored neighbours, and the latter we may suppose, their wits sharpened by adversity,, t0=4888, t1=5372, text=gradually devising means of keeping out of the robbers' reach., t0=5372, t1=5908, text=In the artificial environment of a hunting or shooting country, however, the fox will always]",583.95 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_003.wav,60000.36 ms,openai_whisper," rivalry between fessent and fox, or, as I rather suspect, between those who shoot the one and hunt the other, admits of only one answer. The fox eats the fessent, the fessent is eaten by the fox. This not very complex proposition may read like an excerpt from a French grammar, but it is the epitome of the whole argument. It is just possible we have no actual evidence to go on, that under such holy natural conditions as survive nowhere in rural England, the two might flourish side by side. The fox taking occasional toll of its agreeably flavored neighbours, and the latter we may suppose, their wits sharpened by adversity, gradually devising means of keeping out of the robbers' reach. In the artificial environment of a hunting or shooting country, however, the fox will always prove too much.",1013.23 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_003.wav,60000.36 ms,vosk,full raid between pheasant and fox or as i rather suspect between those who shoot the one and hunt the other admit sieve only one answer the fox eats the pheasant the pheasant is eaten by the folks this not very complex proposition maybe like an excerpt from a french grammar but it is the epitome of the whole argument it is just possible we have no actual evidence to go on that under such holy natural conditions as survive nowhere in rural england the to might flourish side by side the fox taking occasional total of it's agreeably flavored neighbors and the latter we may suppose their wits sharpened by adversity gradually devising means of keeping out of the robbers reach in the artificial environment of been hunting or shooting country however the folks will always proved too much,2446.39 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_004.wav,60000.36 ms,mlx_whisper," for a bird dulled by much protection. And the only possible modus fivendi between those concerned must rest on a policy of given to take that deliberately ignores the facts of the case. More interesting on academic grounds at any rate is the process of education, noticeable in pleasants in parts of the country where they are regularly shot. Sport is a great educator. Foxes certainly and hairs probably run the faster for being hunted. Indeed the fox appears to have acquired its pace solely as the result of the chase since it does not figure in the Bible as a swift creature. The genuine wild fethanton its native region, a little beyond the Caucasus, is in all probability, a very different bird from its half domesticated kinsman in Britain. I have been closed.",581.34 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_004.wav,60000.36 ms,apple_speech,For a bird dulled by much protection and the only possible motors vivendi between those concerned must rest on a policy of give-and-take that deliberately ignores the fact of the case more interesting on academic grounds at any rate is the process of education noticeable in pheasants in parts of the country where they are regularly shot sport is a great educator foxes certainly and has probably run the faster for being hunted indeed the fox appears to have acquired its pace solely the result of the chase since it does not figure in the Bible as a swift creature the genuine wild pheasant in its native region a little beyond the Caucasus is in all probability a very different bird from its half domesticated Kinsman in Britain I have been close,3017.15 ms,0.05,Success
